"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,1989,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,442,1.3
"2",13,157,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,35,0.1
"3",14,14,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,3,0
"4",15,13,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,3,0
"5",16,133,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,30,0.1
"6",17,141,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,31,0.1
"7",22,40,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,9,0
"8",23,25,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,6,0
"9",24,2,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,0,0
"10",25,3298,278209151,"Developed-Roads",0,0,0,0,0,0,733,2.1
"11",63,11,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,2,0
"12",64,500,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,111,0.3
"13",65,609,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,135,0.4
"14",68,1,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,0,0
"15",105,3,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,1,0
"16",106,15,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,3,0
"17",107,39,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,9,0
"18",108,69,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,15,0
"19",109,137,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,30,0.1
"20",110,341,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,76,0.2
"21",111,579,66078363,"Tree Height = 11 meters",165,206,152,0.647058824,0.807843137,0.596078431,129,0.4
"22",112,943,90377419,"Tree Height = 12 meters",156,201,143,0.611764706,0.788235294,0.560784314,210,0.6
"23",113,1864,120127380,"Tree Height = 13 meters",148,197,135,0.580392157,0.77254902,0.529411765,415,1.2
"24",114,5522,179336753,"Tree Height = 14 meters",140,194,126,0.549019608,0.760784314,0.494117647,1228,3.6
"25",115,15490,181812671,"Tree Height = 15 meters",132,190,117,0.517647059,0.745098039,0.458823529,3445,10
"26",116,31240,238107595,"Tree Height = 16 meters",124,187,108,0.48627451,0.733333333,0.423529412,6948,20.2
"27",117,36352,197064685,"Tree Height = 17 meters",115,183,99,0.450980392,0.717647059,0.388235294,8084,23.5
"28",118,29154,409548202,"Tree Height = 18 meters",106,180,91,0.415686275,0.705882353,0.356862745,6484,18.8
"29",119,7511,196386027,"Tree Height = 19 meters",97,177,84,0.380392157,0.694117647,0.329411765,1670,4.9
"30",120,1592,180182164,"Tree Height = 20 meters",87,174,77,0.341176471,0.682352941,0.301960784,354,1
"31",121,265,148652997,"Tree Height = 21 meters",78,171,70,0.305882353,0.670588235,0.274509804,59,0.2
"32",122,57,130787915,"Tree Height = 22 meters",71,164,64,0.278431373,0.643137255,0.250980392,13,0
"33",123,12,108221951,"Tree Height = 23 meters",66,154,60,0.258823529,0.603921569,0.235294118,3,0
"34",124,1,87181121,"Tree Height = 24 meters",62,143,56,0.243137255,0.560784314,0.219607843,0,0
"35",203,3,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,1,0
"36",206,31,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,7,0
"37",207,17,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,4,0
"38",208,247,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,55,0.2
"39",209,13,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,3,0
"40",210,55,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,12,0
"41",211,78,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,17,0.1
"42",212,266,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,59,0.2
"43",213,308,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,68,0.2
"44",214,573,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,127,0.4
"45",215,528,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,117,0.3
"46",216,629,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,140,0.4
"47",217,503,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,112,0.3
"48",218,467,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,104,0.3
"49",219,314,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,70,0.2
"50",220,972,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,216,0.6
"51",221,151,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,34,0.1
"52",222,120,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,27,0.1
"53",223,50,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,11,0
"54",224,17,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,4,0
"55",225,1,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,0,0
"56",303,4547,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,1011,2.9
"57",304,136,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,30,0.1
"58",305,237,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,53,0.2
"59",306,537,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,119,0.3
"60",307,1569,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,349,1
"61",308,1584,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,352,1
"62",309,1482,31361779,"Herb Height = 0.9 meter",0,107,117,0,0.419607843,0.458823529,330,1
"63",310,1218,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,271,0.8
